,0
0,"
                    
                        골드박스에 들었길래 구매했습니다.
원래 한박스씩 시키는 무알콜 맥주 입니다.
가격만 아니면ㅋㅋ (가끔 다른게 세일을 해서~)
이제품만 구매하고 싶습니다.
1캔당 칼로리가 젤 낮거든요.ㅡ30칼로리 
다욧하니까 어쩔수 없이 칼로리 신경씁니다.
특히 저녁에 ㅜㅜ 이건 3캔ㅡ90칼로리,
타제품 ㅡ1캔 ㅡ60, 90칼로리 입니다.
그러니 저녁에 마실땐 꼭 이제품 고수합니다.

스트레스 받을때 시원하게 한캔 합니다.

처음 드시면 뭐 이래?? 할수있는데,
몇캔 마시니 저는 익숙해 지더라구요.
지금은 짱좋습니다. ㅋㅋㅋ 

혹시 알콜 드시는 분은 소맥 ㅋㅋㅋ 만들어 드시길~^^ (지인에게 소맥해주니 괜찮다고...ㅋ)

1캔 ㅡ350ml
1캔 ㅡ30칼로리 
1캔 성분ㅡ나트륨1%:21mg, 탄수화물 2%:7g
유통기한  ㅡ2021. 10. 17

도움되셨나요 ??꾸욱 눌러주는 센스 ♥? 감사합니다
                    
                "
1,"
                    
                        (별점 상향)
솔직평 남깁니당~
저는 술알못.
알콜을 입에 대지 않아서 술은 사실 잘 모릅니당
그런데 남편은 간혹 스트레스 받을때 
집에서 시원한 맥주 한 캔 먹는 걸 즐겨해요.
사실 무알콜인지 모르고 주문하긴 했는데요~
온라인에서는 알콜 판매가 안된다더라고용~

영상에 보면 사이판 부바검프가서 받아온 맥주컵에 따르는데 
제가 잘 몰라서 거품 차오르는데서 멈췄지만(거품 풍성)
다 따라도 안 넘친다더라고요?ㅋㅋ(아마..저만 모른듯?ㅋㅋ)

받자마자 냉장고에 넣어놓은 무알콜 맥주를 남편 퇴근해서 한 캔 줘봤어요~
많은 분들처럼 무알콜이란 말에 실망을 하더군요ㅋㅋ
일단 한캔 따보고 한잔 마시더니 표정이 일그러졌어요ㅋㅋㅋㅋ

맛표현을 해보자면,
일반맥주와 첫 맛은 완전 다르대요. 
남편은 첫맛이 충격적으로 다르다네요.
중간은 살짝 일반 맥주맛이 나고 
끝맛은 일반 맥주는 끝 맛이 떫은데 반해 
클라우드 무알콜맥주는 물 탄 음료처럼 맹맹한 맛이 난다더라구요.
그리고 거품에서 비누향이 난대요. 
시원한 맛이나 탄산도 일반맥주에 비해 별로라고..ㅎㅎ

맥알못인 저같은 경우는 그냥 따르자마자 맥주냄새가 났어요ㅎㅎ
제가 한입을 먹어봤을땐 첫 맛에서 복숭아? 같은 향도 좀 나더라구요.
이건 남편도 같은 생각이구요, 저는 맥주맛도 좀 났어요.

남편은 일반 클라우드 맥주는 맛있다고 하는데
이 무알콜은 솔직히 비추라고 했어요. 
맥주자체를 좋아하는 분들은 비슷하실 수 있을 것 같아요.
남편에게 질문을 해봤어요.
맥주가 너무 먹고싶은데 알콜금지인 상태라면 먹겠느냐고..
그러자..아쉽게도..
'안먹는다. 대용품은 아닌듯하다' 라는 답변을ㅠㅠ

좋은평을 쓰지 못해 아쉽지만 솔직한 평을 남깁니다~
그럼에도 기호식품이다보니 호불호는 갈릴 수 있을거라고 봐요.
구매하실 분들은 여러 상품평을 보시고 선택하시길 바랍니다^^

(혹시 몇번 더 마셔보면서 또 다른 느낌이면 추가할게요)

+++추가
남편이 맛 없다더니 냉장고에 6개 한묶음만 더 넣어놔보라고 하면서
혼자 할짝할짝 꺼내 마시네요ㅎㅎㅎ
대용품도 아니라더니 꿩 대신 닭인지 뭔지..ㅋㅋㅋ
맥주 없으면 이거라도 있는게 낫나봅니다ㅎㅎ

+++추가
수시로 꺼내먹는 남편..
알다가도 모르겠군요ㅎㅎㅎㅎㅎ
(이젠 거품만 없으면 괜찮다고...)

+++추가
1캔 먹고 나눔을 해야되나 고민했는데
얼마 지나지도 않았는데 거의 다 먹은 남편...ㅡㅡㅋ
나름 무알콜의 매력이란게 있나봐유?
평점을 올려야겠습니다 허허..

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
2,"
                    
                        원래도 맥주를 좋아하긴 한데, 이게 첨엔 작은거 한캔인데
어느 순간 두캔 세캔... 그러다 페트를 한번에 혼자 마시는 저를 발견 하고
충격 받아서 술 마시는 것을 조절하였으나
요즘 코로나 덕에 외출이나 외식이 줄어들다보니 집에서 혼술을 더 자주 하게 되더라구요.
그러면서 다시 술이 늘었어요. 문제는 퇴근 후에 밥먹으면서나 티비보면서 한두캔 마시고 나면 자기전까지 술에 취해서 아무것도 못해요.
집안 일도 해야하고, 필요한 공부를 하거나 그래야 하는데 말이죠
게다가 여름이니 시원하자고 마셨지만 열이 올라서 더 덥구요 ㅠㅠ
곰곰히 생각해 보니 딱히 취하고 싶은 건 아닌거 같은 싶은 습관성 음주이더라구요.

그래서 무알콜 맥주를 마셔보자 싶어서 쿠팡에서 브랜드 별로 마셔보려구 하다가
이게 저렴한거 같아서 사봤어요. 맥주는 클라우드랑 카스 그리고 편의점 4캔 만원 수입맥주를 좋아합니다. 

일단 새벽 배송 왔는데, 포장 뜯다가 캔 하나가 커터에 찢어져서, 아침부터 맥주 냄새가 진동하네요 ㅋㅋㅋ 캔이 대단히 얇은거 같아요. 커터에 살짝 닿았다고 찢어지다니..

일단 걍 다 버리기 아까워 아침부터 한모금 마셨는데, 에.. 나머지 다 버렷어요.
미지근할땐 정말 맛이 없네요;; 미지근한 맥주보다 더 맛이 없어요. ㅠ ㅠ

아침에 슬픈 기억을 뒤로 하고 퇴근 후에 냉장고에 종일 있던 걸 마셨더니
아... 괜찮네요. ㅎㅎㅎ 다행입니다.

약간 달콤 새콤하면서 맥주와는 다르고요, 탄산은 약간은 약한편인거 같아요.
색깔은 옇은 편이고, 거품은 적어요. 거이 없습니다. 하지만 아주 차갑게 해 드시면
맥주 기분내는데 좋습니다. 칼로리도 낮아요! 부디 시원하게 드세요.
그렇다고 얼리는건 안좋을거 같네요. 마시는 속도가 빨라 얼리진 않았는데
캔 자체가 얇아서 얼리면 터지지 않을까 싶어요.

기분 내면서 한두캔 마시고 나서 좀 쉬다가 바로 공부도 할수 있고, 일도 할수 있고
무엇보다 몸에서 열나지 않아서 시원하게 잠들수 있습니다.

그런데 방심하고 하루에 두새캔씩 마셨더니, 벌써 6캔 밖에 안남았어요ㅋㅋㅋㅋㅋ
맥주값 생각하면 저렴하고 괜찮은 대안입니다. 물론 알콜은 아니구요!

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
3,"
                    
                        일단 물엿같은 단맛은 거의 안납니다.
살짝 있긴한데 스치고 지나갑니다. 
호랑이 레몬맥주와 비슷합니다.

2년 전에 무알콜먹고 다신 안 먹었어요.
그 물엿같은 맛이 싫어서요.
최근엔 파인애플맛 탄산수와 블랙커피를 2:1로 섞어서 제로칼로리인 무알콜 맥주느낌탄산을 만들어 먹었어요.
아니면 그냥 맥주를 먹던가.

구태여 맥주를 끊겠다거나(끊을만큼 얽매이지 않음) 약을 먹어서 못먹어서라든가의 이유는 전혀없고 단지 요즘 기분이 세금때문에 헝그리스러워져서 맥주값이 아깝다거나 비싼거 같단 생각이 들어서요.
취하는 게 좋은 그런부류의 술꾼도 아니고 그냥 맥주를 좋아하는 술 좋아하는 술꾼인거라 맛만 있으면 저렴한 무알콜도 괜찮겠다 싶어서요.

하이★와 독일 무알콜 두종류만 접했었는데 독일 웨팅★는 맥주자체는 맛이 괜찮은데 무알콜은 초저알콜이면서 물엿맛이라 억지로 24캔을 해결한 기억과 하이★는 먹다보면 역시 그 뒷맛의 물엿맛이 싫었던 기억에 더는 아무것도 시도하지 않았는데 16730원에 떡하니 떠있는 걸보고 상품평에 단맛이 적다고 하니 그냥 궁금해서 사봅니다.

한캔당 약 700원. 
어쩌면 필 라★★ 맥주형술이 마트에서 500ml이면 비슷한 가격이거나 더 쌀 수도 있겠지만 마트 나가기도 귀찮고.
한번 시켜봤어요.
탄산이 약하다고 했는데 신맛이 보완해주며, 최근 탄산 2/3가짜 맥주를 자주 마셔서 그런가 탄산이 이 정도라도 나쁘지 않군요.
하이★보다 덜 달아 더 나은 듯.
그래도 밍밍한 식초물탄산수느낌은 벗어나지 않는군요.

원래 클라우드와는 전혀 같지 않으나 필★★★ 맥주같은 그 술에 살짝 물탄 느낌입니다. 클라우드는 비선호맥주.
왜냐하면 저는 입맛이 순수령맥주에 길들여져서인지 뒷맛의 약맛같은 그 맛이 좀 별로였어요. 그렇게 진한지도 모르겠고.
진한 수제맥주류를 좋아하고 한국 것은 좀 쓴맛나는 오★라거가 그나마 괜찮은 편. 
독일이나 벨기에 같은 순수령 해외맥주파. 
궁금한 건 먹어보더라도.

색은 연한게 호랑이 레몬과 비슷해요.
호랑이 레몬은 술같진 않은데 가볍게 먹긴 나쁘진 않았었던 기억이. 물론 6캔 구입이 전부이긴 했지만.
그보단 덜 달아요.
콜라 한캔보다 더 낫다 생각하고 가짜 탄산 맥주보다는 더 맥주같으니 나쁘진 않겠지만 24캔이 이 가격일 때만입니다.
더 비싸면 그냥 제일 싼 한국맥주를 먹는게 더 낫겠다고 생각합니다만 금주하시는 분들에겐 괜찮을 수도 있을 거 같고 술 못마시는 분들은 이 맛이 연한 설탕 뺀 저소다 레모네이드 느낌일 수도 있어 좋아하게 되실 수도 있어요. 캔은 맥주형이라 기분도 날테고. 저는 컵에 따라 먹는 걸 좋아해 캔은 의미없지만. 칼로리 낮은 건 덤. 또 신맛 좋아하시면 괜찮을 수도. 전 신맛은 별로 안 좋아해서요.
그래서 저로서는 또 살지는 먹어보고 생각해봐야겠어요.
탄산수가 더 싸거든요. 블랙커피랑 섞으면 양도 두배.

컵에 남은 클라우드 제로를 마시고 나니 이보단 파인애플커피맥주가 밤늦게도 이닦을 거 신경 안쓰고 간헐적 단식 중에도 마실 수 있어 좋을 것 같아 그거 구매하러나 가야겠어요. 사이트에.
물론 오자마자 미지근하게 마셔서 그럴 것도 같아 별은 하나만 뺍니다. 차가우면 더 낫겠죠.
                    
                "
4,"
                    
                        주문일자 : 2020. 08. 11

배송완료 : 2020. 08. 12

판매가격 : 21.000원

용량, 갯수 : 350ml / 24캔

유통기한 : 2021. 07. 20

열량 : 30kcal

때마침 하이트 무알콜 맥주를 다 마셔서 
클라우드 클리어 제로를 주문했네요.
비교를 하며 평을 할 수 있을 것 같아요.

우선, 용량은 (하) : 355ml이고, (클) : 350ml이예요.
         가격은 (하) : 14.700원이고, (클) : 21.000원이예요.
         칼로리 (하) : 60kcal, (클) : 30kcal

둘 다 24캔씩 들어있는 건 같아요.
탄산은 하이트가 좀 더 톡 쏴서, 클라우드가 부드럽게 느껴졌고,
마시고 난 후 입안에 남는 향이나 끝맛은 클라우드가 좀 더 
향기롭고, 깔끔해요.
칼로리도 클라우드가 비발효 제조공법으로 만들어서 
절반이나 낮고, 
갠적으론 클라우드가 더 제 취향이네요.^^

성인용 음료로 구분된 탄산음료라 음료수 먹듯 마시고 있어요.
Alc. 0.00%가 확실한 것 같구요.
마시고 난 뒷날을 걱정하지않아도 되니 부담없이 즐기고있어요.

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
5,"
                    
                        구매가격 : 18.400원

늦둥이 육아로 지쳐갈때쯤 ..
상쾌함이 필요했어요.
그러나 모유수유중이라서
무알콜이라도 들이켜야겠다고 결심하고
여러 무알콜들을 마셔봤는데
맛,탄산,칼로리
이 세가지를 충족시키는건 클라우드였어요.

무알콜특유의 물엿맛이라고해야하나요?
그 맛이 너무 싫어서 이것저것 참고 마시다가
클라우드를 마시고 어찌나 기뻤는지^^

단맛을 너~~~무 싫어하는 저에게는 최고의 맥주맛음료예요.
(사실 양꼬치친구가 최애긴한데 그건 좀 알콜이들어있어서)
사람들이 극찬했던 비어쩌구는 마셔보고 깜놀했어요.
그냥 레몬맛음료였어요.완전 설탕~~~

살짝 밍밍한듯한듯한 씁쓸한맛에
(탄산 잘 못마심) 쭉쭉 넘어가는 적당한 청량함
게다가 착한 칼로리♡

아가 재우고 살짝 나가서 한캔 따갖고와서
홀짝홀짝마시면
기분탓인지 ...
아주 살짝 알코올이 첨가가 되었는지 의심이 들정도로 
알딸딸할때도 있어요ㅋㅋㅋ

아!
임신했을때 너무 속이 미식거려서 
맥주 딱 한모금하고 싶어서 클라우드 한캔 사놓고
칠성에 문의했어요.
무알콜이 카페인 들어있다고 들었어서..

카페인도 제로랍니다ㅎㅎ
안심하고 드시라는 답변받고 
기분좋게 마신 기억이 나네요^^

냉동실에 15분가량 넣어놨다가 쭉 들이키면
한순간일지라도 메스꺼움이 잠시 쭉 내려가요^^
정말 잠시ㅋ
저는 입덧이 너무 심했었어요ㅠㅠ
                    
                "
6,"
                    
                        이건 지극히 진실만 적었으니 참고만 하세요.

일단 전 개인적으로 클라우드 클리어 제로 먹기전에 하x트 제로를 먹어본 사람입니다.

그리고 해외 병으로 든 무알콜 맥주도 먹어봤구요.

제가 먹은 것들이...그 무알콜 특성의 그 맛이 있는데 이게 좀 더 괜찮았습니다.

진짜 먹어봐야 아실텐데 뭐랄까 그 좀 더 깨끗한 맛이 있어요.

제품을 찬양하는게 아니고 실제 음용을 했을 때 개인적 의견이니 참고만 하시면 되구요.

근데 이거 배달 받으면 일단 박스를 뜯고 각각 6개가 묶음으로 되어 있어서 그냥 잊어버리실수도 있는데

마시기전에 꼭 입구 주면을 닦고 드셔야합니다.

먼지 좀 있었어요. 하얀 휴지나 물티슈로 닦으면 눈에 보이더라구요.

그러니 마시기 전에 꼭 닦고 드시는걸 추천합니다.

캔으로 된 무알콜 음료라 그 맛 자체가 좀 더 깔끔하고 좋았는데 확실히 시원하게 냉장보관했다가

마시는게 정말 좋았습니다.

저라면 지인에게 추천합니다 이거

저 어지간해서 지인에게 추천안해요ㅋㅋㅋ

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
7,"
                    
                        저랑 신랑은 가끔 맥주 한 잔씩 하는 걸 좋아해서
손님들과 마시곤 하는데~~
어디 놀러갔을 때나 혹은 손님들이 찾아오실 때..
운전 하고 오신 분들은 맥주 마시지 못하고 멀뚱멀뚱 계시는게
좀 안타까워서(?) ㅋㅋㅋㅋ

한 번 마셔보고 손님들에게도 권할까 해서 ㅎㅎ
시음해보았습니다 ㅋㅋㅋ

우선 정말 맥주를 마시고 싶은데 알콜을 섭취하지 못마실 때 ㅜ
먹을 수는 있습니다 ㅎㅎ

그런데 저는 개인적으로 첫 맛과 중간 맛은 그래도 맥주와 비슷하다고
생각 드는데 끝맛이 정말... 좀 독특한 향이 나면서.....
좀.... 힘드네요 ㅎㅎㅎㅎ

다른 무알콜 맥주를 마셔보지 않아서 직접 비교 불가능 하지만
그래도 여러 상품평에 그나마 클라우드 제로가 리얼 맥주 맛과
비슷하다고 하셔서 약간 기대했는데~~

전 두모금 먹고 버렸는데 신랑은 한캔 다 먹긴 했어요~
다음에도 사겠냐고 물어봤더니 ㅋㅋㅋ
정말정말 맥주가 마시고 싶은데 알콜 섭취 불가할 때는
한캔 정도 사먹을 수 있을 것 같다고 ㅎㅎ 하네요...

저도 그럴 것 같긴 해요 ㅎㅎ

아주 못먹을 맛은 아니예요 ㅋㅋㅋㅋ 
근데... 남은건 다 어쩌죠?? ㅋㅋㅋㅋㅋㅋㅋㅋ

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
8,"
                    
                        술은 먹고싶지만 이젠 애가 있어서 예전 만큼 못마시니
기분이라도 내고 싶은 마음에 선택했어요.

예전에는 직장니면서 회식도 하고 친구들도 만나면서 맥주도 한잔하고 했는데
이젠 애낳고 육아하고 코로나로 밖을 나가지 못하니 넘 답답해요ㅠㅠ
그래서 기분만 낼겸 무알콜 맥주를 선택했어요.

6개씩 4묶음 24개로 배송 받았구요 여섯개씩 비닐로 되어있어서 
깨끗하고 좋아요.

차갑게 냉장고에 넣어서 마셔보니 어쩜 맥주랑 똑같네염ㅎㅎ
요즘같이 더운여름에 술마시고 더운것보다 
이거 마시고 기분도내고 덥지도 않고 넘 좋네요^^

무알콜이라고 하면서 아주조금 알콜이 들어있는경우도 있었는데
이건 진짜 0%여서 넘 좋습니다.

무알콜 맥주는 양조방법은 기존맥주랑 동일한테 병이나 케그에 담기전에
알코올을 제거 한다고 하니 신기하네요

맥주성분표에 열량도 낮고 당도 없고 다이어트에도 좋아서 만족해염^^ 
오늘 무알콜과 치맥을 달려봅니다^^

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
9,"
                    
                        ??구매이유: 새로운 무알콜 맥주가 궁금해서 주문해봤어요^_^

??배송 : 언제나 그렇듯 로켓배송으로 하루만에 슝=3 

받았답니다.

??상품 : 비발효 제조 공법으로 칼로리가 낮다는

말에 혹~했어요 ^_^

다른 후기들보면 시원하게 먹어야 맛 있다고 해서

김냉에 넣어논거 꺼내 다시 먹기전 냉동실에 

1시간 넣어놓고 꺼내 먹으니 맛있네요^_^

시원하게 해서 먹는거 추천드려요.

요즘처럼 더운여름 낮에 맥주는 좀 그렇고 맥주맛

나는 시원한 음료 (?)생각날때 하나씩 냉장고에서

꺼내먹음 좋을꺼 같아요 ^_^

맛은 일반 맥주맛보다는 약간 향이있고 그냥 탄산

음료같은 ~그러나 맥주보다는 거품은 덜나고 

탄산이 약하지만 가볍게 먹기 좋아요.

술 잘 못드시는 분들은 한번씩 먹어봐도 

좋을듯 합니다 *^___^*??

맥주의 거품과 탄산을 좋아하시는 분이라면 

한번 생각해보세요 ^_^

저는 칼로리도 낮으면서 술을 잘 못먹는 사람이라

괜찮았어요 ^_^

참! 일반 맥주랑 반반 섞어서 먹어봤는데 

괜찮네요 ??

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.
                    
                "
