,0
0,"
                    
                        평소 혼술을 자주 하는데요 계속 마시다 보니 먹을땐 좋다가

다음날 되면 몸이 피곤해 지거든요 

어떤분이 그냥 입에 뭘 집어 넣어야 해서 혼술을 하시는것

같다고 하시던데 저도 약간 그런과 같기도해요

맥주는 안좋아하는데 그냥 웬지 술이 땡길때 맥주 인냥  홀짝

홀짝 안주 만들어 놓고 먹으니깐 분위기는 그럴싸하네요 

건강 생각해서 술을 줄이고 해야해서 무알콜 맥주는 괜찮네

요 ㅋㅋ 맛은 처음에 마셨을땐 뭐지? 좀 끝맛이 다네 

이랬어요 맥주 첫맛이 나나 끝맛은 엿기름 맛 이라고 해야하

나 암튼 별로 였다가 계속 마시니 이젠 익숙해 지네요 

소주를 먹다가 좀 부족해서 한병 더 마실까 할때 이거 마심 

그 다음날 들피곤하게 되고 괜찮은것 같아요 맥주랑 짬뽕함 

머리 아프니까요 떨어짐 웬지 계속 시킬것 같아요 

 탄산도 웬만큼 맥주처럼 들어있고 맛은 끝맛이 단것 뺌 

혼술 할때 다음날 부담도 없고요 

추가

계속 먹어보니 중독이 되네요 이거 먹다가 일반 맥주 먹으면

맛이 희한한 맛이 나요 이 맥주가 중독성이 있고요 그러고 보

니 뱃살이 점점 늘어나는 것 같아요 칼로리가 있다보니 자주

먹음 맥주배가 엄청 나올듯해요
                    
                "
1,"
                    
                        두번째 구매♥


10월8일에 주문해서 9일날받구
딱 10일만에 다 마셨더라구여ㅋㅋㅋㅋㅋㅋㅋㅋ

내가 무알콜에 이렇게 중독될줄이야......^__^;;;;;;

확 쪄버린 몸무게 탓에 도저히 이래선 안되겠다싶어
자주먹던 소주도 일주일에 한번 아님 2주에 한번
마실려고 하는데....

흐..신랑이 안도와주네요.
( 제 의지도 약한게 문제^^;;;)

신랑은 주에 3회 맥주 마셔요ㅠ
어떨땐 주5회..... (소주끊고맥주로 조짐)

가끔 1000이나 1600사오면 같이 마시는데
와......  제 몸은 감당안됩니다ㅠ

신랑이랑 기초대사량이 다르다보니
나만 배나오고 살쪄....... 씨ㅠ

치킨먹을때 한잔먹고싶지만 맥주도 술이라서
자꾸 술이 술을 부른다요ㅜ

하지만 이제 요 무알콜 한캔으로 끝!!

대박 조아요♬ 진심좋아 ㅋㅋㅋㅋㅋㅋㅋ

저녁에는 밥 안먹고  무알콜2캔에 꽃징어 옴뇸뇸♥
( 사실 안주도 필요없음ㅋㅋ )

쌀 대신 무알콜 먹은 뒷날 몸무게는 다행히 안늘어남유.

그리구 술 줄인지 거의  한달쯤되갑니다.

신랑이 한날은 제 배보더니 "" 좀 들어갔다? "" 하길래

저는 다 "" 무알콜덕분인갑네 ""  이 지랄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

술 못 끊을꺼같은분들 요 무알콜로 시작해보세요.

무알콜 며칠 드시다가 그냥 맥주나 쏘주먹으면
세상 그렇게 쓰블수가 없네여!!!ㅋㅋㅋ
(쏘주 한병이상 마시면 이제 취하네여...ㅋㅋㅋㅋㅋ)

가격은 저번보다 몇백원 내려갔지만
마트에서 파는거랑 비교해보면 감사한마음으로 사먹습니다♡

앞으로도 쭈욱 재구매할거예요.

-무알콜중독자가 될 수있으니 조심하세여!-
                    
                "
2,"
                    
                        또 구매♥_♥


연말에 세일하길래 12,000원에 구매했어요.

역시나가 역시나죠.

탄산이 톡톡 쏘아주니 모든 안주에 다 잘맞아....ㅠ

여신강림보면서 홀짝홀짝*

신랑 안주차려주고 같이 홀짝홀짝*

소주만 먹기 쓰워서 소맥잔에 타서 원샷*

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

그리고 씹을꺼 곁들인다고 당근이랑 먹는데
왜일케 맛있는거죠????????? ㅋㅋㅋ


(아!!  그리구 개인경험후기인데여.)

제 친구가 ㅋㄹ욷꺼 무알콜이 있어서 맛보라고
3캔줬는데여 .
한캔먹구 다시 친구한테 돌려줬어요ㅋㅋㅋㅋㅋㅋㅋ

목넘김이 짜릿한 요 탄산에 길들여져버려서
그 밍밍한 넘김은 당최 만족이 안돼요ㅋㅋ

향나는 맥주맛 패쓰~하는 사람이라.

항상 전처럼 요것만 쭈욱 시킵니돠^____^ ♥
                    
                "
3,"
                    
                        요즘 덥다보니...
저녁때 되면 편의점 캔맥 네캔 만원짜리 자꾸 사게 되어서 살만 찌고;;

근데 어느 마시다보니 생각 든 건....
취하려고 마신다기 보다는 저녁에 홀짝홀짝 뭔가 마셔야할것같은 습관성 드링킹이라는 것을 깨달았어요 ㅋㅋㅋ

그래서 어차피 마실거면 살 안찌는(이 아니라 덜찌는) 논알콜로 마셔보자 해가지고 사게 됐네요

일단 배송은 잘 됐어용

이동 시 6개들이를 한 세트로 들어 나를 수 있게끔 중간 손잡이가 있으니 구멍 뽕 뚫어서 접어서 사용하세요

뜯어서 마실 때는 중간에 점선으로 된 곳을 잡고 뜯으면 덕지덕지 안하고 선대로 잘 뜯어지니 첨에 참고하시구요ㅎㅎ

전 받자마자 미지근한 캔 급속 냉장(?)시켜 마시려고 '냉동실'에 5분정도 넣어놨다가 꺼내서 마셨는데 아직 미지근 하더라구요ㅋㅋ
근데 미지근할 때 마시니까 약간 홍차 향이 나서 색달랏네요

다시 차갑게 해서 마시니깐,,, 라이트한 맥주 마시는 느낌이라 무겁지않고 좋아요
뭐 거품 풍부하고 크리미한 느낌은 아니지만 만족합니다ㅎ
60칼러리니까요 ㅋㅋㅋㅋㅋ 바나나 하나보다 낮은 열량

여름에 칼로리 부담없이 션하게 맥주맛 느끼고 싶을때 과자 한봉지랑 딱이에요 특히 술 많이 못하시는 여성분들 기뷴낼때도 좋을듯하네요 ㅋㅋ 이거 마신다고 진짜 맥주나 다른 술 안마실건 아니지만 아쨌든 조금이라도 덜 살찌겠죠???? (강요) ㅋㅋㅋㅋ 좋습니다

참고: 성인용 음료입니다 ㅋㅋㅋ 아이들은 마시지 마세요~~
                    
                "
4,"
                    
                        하이트 제로~ 저의 넘버원 데일리 음료입니다. 
저는 애 둘 낳은 아줌마로 두 번의 출산과 수유기를 겪으며
알코올 없는 암흑기(?)의 세상을 지내본 사람입니다 ㅎ

저의 음료 냉장고에는 무수히 많은 무알코올 맥주들이 스쳐
지나갔었답니다. 마지막에 자리 잡은 아이가 바로 이!!!!!
하이트 제로! 입니다. ^^

그동안에 맥주의 나라 독일에서 온 무알코올 맥주부터 세계 
여러 나라의 무알코올 맥주를 섭렵했었습니다. 하지만 그것
들이 전부 소량의 알콜을 함유하고 있었답니다. 우리나라의
주류법 특성상 1% 미만의 알콜을 함유한 음료는 무알콜로 
표기 가능하다는 사실 알고 계셨나요? -.-

혹시 무알콜 맥주를 드시면서 약간 취한다는 느낌을 받아
보신 적 있으실 거예요 ㅠ 저는 간혹 그런 경우가 있었는데
다 술자리 분위기 때문이라고 생각했었답니다 ㅠㅠㅠㅠ
바보 바보 바보!! 지금도 생각하면 뱃속의 태아와 제 자신
에게 미안합니다. 무지한 엄마를 늦게나마 반성합니다!

많이들 모르시는데 알콜은 임산부나 어린이에게 치명적일 수 
있는 물질입니다. 무심코 식사와 함께 맥주나 소주 등을 마시
다가 식탁 위에 있는 술잔을 아이가 훌쩍 마셔버리는 경우도 
종종 보았습니다. 하지만 이 하이트 제로는 설마 아이가 
보호자 몰래 꼴깍 마셔버린다 하여도 탄산 때문에 목 따가워 
죽을 수는 있지만;; 알콜로 인한 부작용은 없을 것입니다. 
그만큼 알코올에 대해서는 0.0% 첨가로 100% 안전한 
음료입니다. 

다만 ‘성인용’이라고 표기된 이유는 아동과 청소년들의 음주 
습관 형성 및 모방의 위험이 있기 때문이라고 합니다. 외관이
하이트맥주(알콜이 포함된)와 너무 비슷해서 누구라도 술을 
마신다고 생각할 수 있습니다. 그 점은 조심 또 조심해야겠
지요~ 

서두가 길었지만 임신기와 수유기를 포함해 5년 정도를 
무알콜의 세계에 빠져 있었더니 일반 맥주보다 이 아이가 더 
맛있게 느껴집니다 ㅠㅠ 제 입맛이 이상한 걸까요?;; ㅎ
아무튼 약간의 단맛과 정말 엄청난 탄산감이 속을 시원하게
뻥 뚫어줍니다!! 스트레스 훨~훨~

★하이트 제로를 드실 때, 두 가지 주의하실 점은★
1. 아주 차갑게 해서 드셔야 맥주와 가장 비슷한 맛을 
느끼실 수 있습니다. (냉장고 온도 1~3도 추천)
2. 더 차갑게 드시려고 김치냉장고나 냉동실에 두시면
알콜이 없어 처참히 폭발함으로 조심 또 조심하셔야 합니다!!

탄산감 가득한 맥주보다 더 톡! 쏘는 하이트 제로~
그럼 다 함께 먹어 봅시다. ^^
24개 한 박스 14,900원 구매완료!
                    
                "
5,"
                    
                        평소 혼술을 자주 하는데요 계속 마시다 보니 먹을땐 좋다가

다음날 되면 몸이 피곤해 지거든요 

어떤분이 그냥 입에 뭘 집어 넣어야 해서 혼술을 하시는것

같다고 하시던데 저도 약간 그런과 같기도해요

맥주는 안좋아하는데 그냥 웬지 술이 땡길때 맥주 인냥  홀짝

홀짝 안주 만들어 놓고 먹으니깐 분위기는 그럴싸하네요 

건강 생각해서 술을 줄이고 해야해서 무알콜 맥주는 괜찮네

요 ㅋㅋ 맛은 처음에 마셨을땐 뭐지? 좀 끝맛이 다네 

이랬어요 맥주 첫맛이 나나 끝맛은 엿기름 맛 이라고 해야하

나 암튼 별로 였다가 계속 마시니 이젠 익숙해 지네요 

소주를 먹다가 좀 부족해서 한병 더 마실까 할때 이거 마심 

그 다음날 들피곤하게 되고 괜찮은것 같아요 맥주랑 짬뽕함 

머리 아프니까요 떨어짐 웬지 계속 시킬것 같아요 

 탄산도 웬만큼 맥주처럼 들어있고 맛은 끝맛이 단것 뺌 

혼술 할때 다음날 부담도 없고요 

추가

계속 먹어보니 중독이 되네요 이거 먹다가 일반 맥주 먹으면

맛이 희한한 맛이 나요 이 맥주가 중독성이 있고요 그러고 보

니 뱃살이 점점 늘어나는 것 같아요 칼로리가 있다보니 자주

먹음 맥주배가 엄청 나올듯해요
                    
                "
6,"
                    
                        두번째 구매♥


10월8일에 주문해서 9일날받구
딱 10일만에 다 마셨더라구여ㅋㅋㅋㅋㅋㅋㅋㅋ

내가 무알콜에 이렇게 중독될줄이야......^__^;;;;;;

확 쪄버린 몸무게 탓에 도저히 이래선 안되겠다싶어
자주먹던 소주도 일주일에 한번 아님 2주에 한번
마실려고 하는데....

흐..신랑이 안도와주네요.
( 제 의지도 약한게 문제^^;;;)

신랑은 주에 3회 맥주 마셔요ㅠ
어떨땐 주5회..... (소주끊고맥주로 조짐)

가끔 1000이나 1600사오면 같이 마시는데
와......  제 몸은 감당안됩니다ㅠ

신랑이랑 기초대사량이 다르다보니
나만 배나오고 살쪄....... 씨ㅠ

치킨먹을때 한잔먹고싶지만 맥주도 술이라서
자꾸 술이 술을 부른다요ㅜ

하지만 이제 요 무알콜 한캔으로 끝!!

대박 조아요♬ 진심좋아 ㅋㅋㅋㅋㅋㅋㅋ

저녁에는 밥 안먹고  무알콜2캔에 꽃징어 옴뇸뇸♥
( 사실 안주도 필요없음ㅋㅋ )

쌀 대신 무알콜 먹은 뒷날 몸무게는 다행히 안늘어남유.

그리구 술 줄인지 거의  한달쯤되갑니다.

신랑이 한날은 제 배보더니 "" 좀 들어갔다? "" 하길래

저는 다 "" 무알콜덕분인갑네 ""  이 지랄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

술 못 끊을꺼같은분들 요 무알콜로 시작해보세요.

무알콜 며칠 드시다가 그냥 맥주나 쏘주먹으면
세상 그렇게 쓰블수가 없네여!!!ㅋㅋㅋ
(쏘주 한병이상 마시면 이제 취하네여...ㅋㅋㅋㅋㅋ)

가격은 저번보다 몇백원 내려갔지만
마트에서 파는거랑 비교해보면 감사한마음으로 사먹습니다♡

앞으로도 쭈욱 재구매할거예요.

-무알콜중독자가 될 수있으니 조심하세여!-
                    
                "
7,"
                    
                        또 구매♥_♥


연말에 세일하길래 12,000원에 구매했어요.

역시나가 역시나죠.

탄산이 톡톡 쏘아주니 모든 안주에 다 잘맞아....ㅠ

여신강림보면서 홀짝홀짝*

신랑 안주차려주고 같이 홀짝홀짝*

소주만 먹기 쓰워서 소맥잔에 타서 원샷*

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

그리고 씹을꺼 곁들인다고 당근이랑 먹는데
왜일케 맛있는거죠????????? ㅋㅋㅋ


(아!!  그리구 개인경험후기인데여.)

제 친구가 ㅋㄹ욷꺼 무알콜이 있어서 맛보라고
3캔줬는데여 .
한캔먹구 다시 친구한테 돌려줬어요ㅋㅋㅋㅋㅋㅋㅋ

목넘김이 짜릿한 요 탄산에 길들여져버려서
그 밍밍한 넘김은 당최 만족이 안돼요ㅋㅋ

향나는 맥주맛 패쓰~하는 사람이라.

항상 전처럼 요것만 쭈욱 시킵니돠^____^ ♥
                    
                "
8,"
                    
                        요즘 덥다보니...
저녁때 되면 편의점 캔맥 네캔 만원짜리 자꾸 사게 되어서 살만 찌고;;

근데 어느 마시다보니 생각 든 건....
취하려고 마신다기 보다는 저녁에 홀짝홀짝 뭔가 마셔야할것같은 습관성 드링킹이라는 것을 깨달았어요 ㅋㅋㅋ

그래서 어차피 마실거면 살 안찌는(이 아니라 덜찌는) 논알콜로 마셔보자 해가지고 사게 됐네요

일단 배송은 잘 됐어용

이동 시 6개들이를 한 세트로 들어 나를 수 있게끔 중간 손잡이가 있으니 구멍 뽕 뚫어서 접어서 사용하세요

뜯어서 마실 때는 중간에 점선으로 된 곳을 잡고 뜯으면 덕지덕지 안하고 선대로 잘 뜯어지니 첨에 참고하시구요ㅎㅎ

전 받자마자 미지근한 캔 급속 냉장(?)시켜 마시려고 '냉동실'에 5분정도 넣어놨다가 꺼내서 마셨는데 아직 미지근 하더라구요ㅋㅋ
근데 미지근할 때 마시니까 약간 홍차 향이 나서 색달랏네요

다시 차갑게 해서 마시니깐,,, 라이트한 맥주 마시는 느낌이라 무겁지않고 좋아요
뭐 거품 풍부하고 크리미한 느낌은 아니지만 만족합니다ㅎ
60칼러리니까요 ㅋㅋㅋㅋㅋ 바나나 하나보다 낮은 열량

여름에 칼로리 부담없이 션하게 맥주맛 느끼고 싶을때 과자 한봉지랑 딱이에요 특히 술 많이 못하시는 여성분들 기뷴낼때도 좋을듯하네요 ㅋㅋ 이거 마신다고 진짜 맥주나 다른 술 안마실건 아니지만 아쨌든 조금이라도 덜 살찌겠죠???? (강요) ㅋㅋㅋㅋ 좋습니다

참고: 성인용 음료입니다 ㅋㅋㅋ 아이들은 마시지 마세요~~
                    
                "
9,"
                    
                        하이트 제로~ 저의 넘버원 데일리 음료입니다. 
저는 애 둘 낳은 아줌마로 두 번의 출산과 수유기를 겪으며
알코올 없는 암흑기(?)의 세상을 지내본 사람입니다 ㅎ

저의 음료 냉장고에는 무수히 많은 무알코올 맥주들이 스쳐
지나갔었답니다. 마지막에 자리 잡은 아이가 바로 이!!!!!
하이트 제로! 입니다. ^^

그동안에 맥주의 나라 독일에서 온 무알코올 맥주부터 세계 
여러 나라의 무알코올 맥주를 섭렵했었습니다. 하지만 그것
들이 전부 소량의 알콜을 함유하고 있었답니다. 우리나라의
주류법 특성상 1% 미만의 알콜을 함유한 음료는 무알콜로 
표기 가능하다는 사실 알고 계셨나요? -.-

혹시 무알콜 맥주를 드시면서 약간 취한다는 느낌을 받아
보신 적 있으실 거예요 ㅠ 저는 간혹 그런 경우가 있었는데
다 술자리 분위기 때문이라고 생각했었답니다 ㅠㅠㅠㅠ
바보 바보 바보!! 지금도 생각하면 뱃속의 태아와 제 자신
에게 미안합니다. 무지한 엄마를 늦게나마 반성합니다!

많이들 모르시는데 알콜은 임산부나 어린이에게 치명적일 수 
있는 물질입니다. 무심코 식사와 함께 맥주나 소주 등을 마시
다가 식탁 위에 있는 술잔을 아이가 훌쩍 마셔버리는 경우도 
종종 보았습니다. 하지만 이 하이트 제로는 설마 아이가 
보호자 몰래 꼴깍 마셔버린다 하여도 탄산 때문에 목 따가워 
죽을 수는 있지만;; 알콜로 인한 부작용은 없을 것입니다. 
그만큼 알코올에 대해서는 0.0% 첨가로 100% 안전한 
음료입니다. 

다만 ‘성인용’이라고 표기된 이유는 아동과 청소년들의 음주 
습관 형성 및 모방의 위험이 있기 때문이라고 합니다. 외관이
하이트맥주(알콜이 포함된)와 너무 비슷해서 누구라도 술을 
마신다고 생각할 수 있습니다. 그 점은 조심 또 조심해야겠
지요~ 

서두가 길었지만 임신기와 수유기를 포함해 5년 정도를 
무알콜의 세계에 빠져 있었더니 일반 맥주보다 이 아이가 더 
맛있게 느껴집니다 ㅠㅠ 제 입맛이 이상한 걸까요?;; ㅎ
아무튼 약간의 단맛과 정말 엄청난 탄산감이 속을 시원하게
뻥 뚫어줍니다!! 스트레스 훨~훨~

★하이트 제로를 드실 때, 두 가지 주의하실 점은★
1. 아주 차갑게 해서 드셔야 맥주와 가장 비슷한 맛을 
느끼실 수 있습니다. (냉장고 온도 1~3도 추천)
2. 더 차갑게 드시려고 김치냉장고나 냉동실에 두시면
알콜이 없어 처참히 폭발함으로 조심 또 조심하셔야 합니다!!

탄산감 가득한 맥주보다 더 톡! 쏘는 하이트 제로~
그럼 다 함께 먹어 봅시다. ^^
24개 한 박스 14,900원 구매완료!
                    
                "
